stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id
OOBUS183,Stuart Highway 183,"This stop is located on Stuart Highway, Opp Toms Tyres",-12.42542,130.86715,1
OOBUS184,Hickman 184,"This stop is located on Hickman St, Adj to Carlton Brewery",-12.42672,130.87064,1
OOBUS185,Sweet 185,"This stop is located on Sweet St, Adj to Geminex",-12.42969,130.87255,1
OOBUS186,Coonawarra 186,This stop is located on the Cnr Coonawarra Rd & Bombing Rd,-12.43025,130.87932,1
OOBUS187,Catterthun 187,"This stop is located on Catterthun St, Opp to ANZ Bank",-12.42972,130.88232,1
OOBUS188,Albatross 188,"This stop is located on Albatross St, Opp Kokoda Industries",-12.42853,130.88472,1
OOBUS189,Mataram 189,"This stop is located on Mataram St, Adj to Coates Hire Service",-12.42747,130.89051,1
OOBUS190,Winnellie 190,"This stop is located on Winnellie Rd, Adj to BP Service Station",-12.42655,130.89366,1
OOBUS191,Aviation Museum,"This stop is located on Stuart Highway, Adj to Aviation Museum",-12.42604,130.89727,1
OOBUS192,Stuart Highway 192,"This stop is located on Stuart Highway, Opp Shady Glen C/Park",-12.42632,130.9009,1
OOBUS193,Defence Establishment 193,"This stop is located on Stuart Highway, Opp Coonawarra Naval Base",-12.42915,130.9122,1
OOBUS194,Stuart Highway 194,"This stop is located on Stuart highway, Opp Harvey Norman",-12.43141,130.91826,1
OOBUS195,Berrimah,"This stop is located on Stuart Highway, Opp Hidden Valley Ford",-12.43283,130.92217,1
OOBUS196,Vanderlin 196,"This stop is located on Vanderlin Drive, Adj to Wow",-12.43085,130.92334,1
OOBUS197,Vanderlin 197,"This stop is located on Vanderlin Drive, Opp Stables",-12.42153,130.92325,1
OOBUS198,Vanderlin 198,"This stop is located on Vanderlin Drive, Opp PYC",-12.41551,130.92321,1
OOBUS199,McMillan's Road 199,"This stop is located on Vanderlin Drive, Adj to CSIRO",-12.41345,130.92323,1
OOBUS200,McMillan's 200,"This stop is located on McMillan's Rd, Opp Moray St",-12.40871,130.92018,1
OOBUS201,McMillan's 201,"This stop is located on McMillan's Rd, Adj to Marrara School",-12.4072,130.91749,1
OOBUS202,McMillan's 202,"This stop is located on McMillan's Rd, Adj to Kalymos Club",-12.40403,130.91203,1
OOBUS203,McMillan's 203,"This stop is located on McMillan's Rd, Adj to KOA C/Park",-12.4006,130.90607,1
OOBUS204,McMillan's 204,"This stop is located on McMillan's Rd, East of Northlakes Shops",-12.39679,130.89894,1
OOBUS205,Darwin Golf Club 205,"This stop is located on Links Rd, Adj to Darwin Golf Club",-12.39627,130.89632,1
OOBUS206,McMillan's 206,"This stop is located on McMillan's Rd, West of Northlakes Shops",-12.39551,130.89089,1
OOBUS207,McMillan's 207,This stop is located on the Cnr McMillan's Rd & Lee Point Rd,-12.39555,130.88208,1
OOBUS208,Rothdale 208,"This stop is located on Rothdale Rd, Adj to Airport Hotel",-12.39424,130.87815,1
OOBUS209,Rothdale 209,This stop is located on the Cnr Rothdale Rd & Jingili Tce,-12.38958,130.87741,1
OOBUS210,Rothdale 210,This stop is located at 67 Rothdale Rd,-12.38667,130.87672,1
OOBUS211,Rothdale  211,"This stop is located on Rothdale Rd, Opp Casuarina Senior College",-12.38386,130.87665,1
OOBUS213,Dripstone 213,"This stop is located on Dripstone Rd, Opp Nungalinya College",-12.37541,130.87593,1
OOBUS214,Lakeside 214,This stop is located at 82 Lakeside Drv,-12.37552,130.87369,1
OOBUS215,Lakeside 215,This stop is located at 50 Lakeside Drv,-12.3781,130.87059,1
OOBUS216,Lakeside 216,"This stop is located on Lakeside Drv, Southern end",-12.38231,130.86879,1
OOBUS217,Ryland 217,This stop is located on the Cnr Ryland Rd & Merry Place,-12.38548,130.86077,1
OOBUS218,Ryland 218,This stop is located on the Cnr Ryland Rd & Crisp St,-12.38298,130.86001,1
OOBUS219,Ryland 219,This stop is located on the Cnr Ryland Rd & Rossiter Rd,-12.38038,130.85849,1
OOBUS220,Ryland 220,This stop is located on the Cnr Ryland Rd & Chapman Rd,-12.37885,130.85521,1
OOBUS221,Ryland 221,"This stop is located on Ryland Rd, Opp to Nightcliff High School",-12.3795,130.85189,1
OOBUS222,Aralia 222,"This stop is located on Aralia St, Adj to Aralia St Shops",-12.37909,130.84905,1
OOBUS223,Bougainvilia 223,"This stop is located on Bougainvilia St, Northern end",-12.38125,130.84779,1
OOBUS224,Bougainvilia 224,"This stop is located on Bougainvilia St, Opp Grevillea St",-12.38333,130.84836,1
OOBUS225,Bougainvilia 225,"This stop is located on Bougainvilia St, Southern end",-12.38644,130.84836,1
OOBUS226,Progress Drive 226,"This stop is located on Progress Drv, Adj to Shops",-12.38785,130.84953,1
OOBUS227,Dick Ward 227,"This stop is located on Dick Ward Drv, Adj to Medical Centre",-12.38886,130.85234,1
OOBUS228,Dick Ward 228,This stop is located on the Cnr Dick Ward Drv & Musgrave St ,-12.39263,130.85235,1
OOBUS229,Dick Ward 229,This stop is located on the Cnr Dick Ward Drv & Old McMillan's Rd,-12.39595,130.85237,1
OOBUS230,Dick Ward 230,"This stop is located on Dick Ward Drv, Adj to U-Cart",-12.39999,130.8524,1
OOBUS231,Dick Ward 231,"This stop is located on Dick Ward Drv, Opp Minmarama",-12.41296,130.85058,1
OOBUS232,Fannie Bay Jail 232,"This stop is located on Dick Ward Drv, Opp Fanny Bay Shops",-12.42453,130.83626,1
OOBUS233,East Point 233,"This stop is located on East Point Rd, Opp Sailing Club",-12.43114,130.83738,1
OOBUS234,East Point 234,"This stop is located on East Point Rd, Opp Bowls Club",-12.43481,130.83798,1
OOBUS235,East Point 235,"This stop is located on East Point Rd, Adj to Hastings on Mindil",-12.43867,130.83775,1
OOBUS236,Mindil Beach 236,"This stop is located on Gilruth Ave, Adj to Waratahs Club",-12.44613,130.83346,1
OOBUS237,Gilruth Ave/Casino 237,"This stop is located on Gilruth Ave, Opp Casino",-12.44966,130.83167,1
OOBUS238,Mitchell 238,"This stop is located on Mitchell St, Opp Shop",-12.45356,130.83004,1
OOBUS239,Mitchell 239,"This stop is located on Mitchell St, Opp 145 Mitchell St",-12.4551,130.83166,1
OOBUS240,Mitchell 240,This stop is located at 110 Mitchell St,-12.45769,130.83431,1
OOBUS241,Gregory 241,This stop is located on the Cnr Gregory St & Knight St,-12.43212,130.83885,1
OOBUS242,Parap Shopping Centre 242,This stop is located at 33 PARAP RD Opp Parap Rd Shops,-12.43129,130.84328,1
OOBUS243,Ross Smith 243,"This stop is located on Ross Smith Ave, Adj to Parap Pool",-12.42738,130.84191,1
OOBUS244,Ross Smith 244,"This stop is located on Ross Smith Ave, Opp BP Service Station",-12.42547,130.83926,1
OOBUS245,Progress 245,"This stop is located on Progress Drv, Adj to Litchfield Units",-12.38794,130.85451,1
OOBUS246,Old McMillan's 246,This stop is located at 95 Old McMillan's Rd,-12.39531,130.85378,1
OOBUS247,Ryland 247,This stop is located on the Cnr Ryland Rd & Trower Rd,-12.38723,130.86163,1
OOBUS248,Ryland 248,This stop is located at 46 Ryland Rd,-12.38988,130.86284,1
OOBUS249,Ryland 249,This stop is located at 22 Ryland Rd,-12.39258,130.86369,1
OOBUS250,Ryland 250,This stop is located on the Cnr Ryland Rd & Old McMillan's Rd,-12.39489,130.8637,1
OOBUS251,Old McMillan's 251,This stop is located on the Cnr Old McMillan's Rd & Brooking St,-12.39512,130.86605,1
OOBUS252,Old McMillan's 252,This stop is located on the Cnr Old McMillan's Rd & Rapid Creek Rd,-12.39512,130.86825,1
OOBUS253,Abala 253,"This stop is located on Abala Rd, Opp BMX Track",-12.39917,130.88035,1
OOBUS254,Marrara Sporting Complex 254,"This stop is located on Abala Rd, Adj to Hockey Centre",-12.40059,130.88562,1
OOBUS255,Abala 255,"This stop is located on Abala Rd, Adj to TIO Stadium",-12.39777,130.88631,1
OOBUS256,Abala 256,"This stop is located on Abala Rd, Adj to Basketball Stadium",-12.39778,130.88209,1
OOBUS257,Mathews 257,This stop is located at 18 Mathews Rd,-12.39277,130.89781,1
OOBUS258,Lee Point 258,This stop is located at 61 Lee Point Rd,-12.38768,130.88579,1
OOBUS259,Lee Point 259,This stop is located on the Cnr Lee Point Rd & Maria St,-12.38445,130.88771,1
OOBUS260,Chapman 260,"This stop is located on Chapman Rd, Opp Essington School",-12.38258,130.85592,1
OOBUS261,Pandanus 261,"This stop is located on Pandanus St, Opp Nightcliff Primary School",-12.38044,130.85097,1
OOBUS262,Harney 262,This stop is located on the Cnr Harney St & Fitzer Drv,-12.41122,130.852,1
OOBUS263,Harney  263,This stop is located on the Cnr Harney St & Maranungi St,-12.41344,130.85259,1
OOBUS264,Nadpur 264,This stop is located on the Cnr Nadpur St & Nemarluk Drv,-12.41653,130.8523,1
OOBUS265,Berrimah 265,This stop is located in Kormilda College on Berrimah Rd,-12.44218,130.92301,1
OOBUS266,Crocodylus Park 266,This stop is located in Crocodylus Park on McMillan's Rd,-12.41151,130.9278,1
OOBUS268,Rothdale 268,"This stop is located on Rothdale Rd, Northern end",-12.38611,130.87684,1
OOBUS269,Rothdale 269,This stop is located on the Cnr Rothdale Rd & Scales St,-12.38934,130.87759,1
OOBUS270,Rothdale 270,"This stop is located on Rothdale Rd, Opp Freshwater Rd",-12.3912,130.87803,1
OOBUS271,Rothdale 271,"This stop is located on Rothdale Rd, Opp Airport Hotel",-12.394,130.87837,1
OOBUS272,Airport Hotel,This stop is located on the Cnr McMillan's Rd & Rothdale Rd,-12.39531,130.87971,1
OOBUS273,McMillan's 273,This stop is located on the Cnr McMillan's Rd & Lee Point Rd,-12.39527,130.88431,1
OOBUS274,McMillan's 274,This stop is located on the Cnr McMillan's Rd & Tolmer St,-12.39528,130.89021,1
OOBUS275,Northlakes Shops 275,"This stop is located on McMillan's Rd, Opp Northlakes Shops",-12.39531,130.89555,1
OOBUS276,McMillan's 276,This stop is located on the Cnr McMillan's Rd & Mathews Rd,-12.39648,130.89896,1
OOBUS277,McMillan's 277,"This stop is located on McMillan's Rd, Opp KOA C/Park",-12.40029,130.90608,1
OOBUS278,McMillan's 278,This stop is located on the Cnr McMillan's Rd & Kalymos Rd,-12.4033,130.91126,1
OOBUS279,McMillan's 279,"This stop is located on McMillan's Rd, Opp Marrara School",-12.40686,130.91742,1
OOBUS280,Berrimah Police Centre 280,"This stop is located on Vanderlin Drv, Adj to Peter McCauley Centre",-12.41277,130.92338,1
OOBUS281,Vanderlin 281,"This stop is located on Vanderlin Drv, Adj to PYC",-12.41557,130.92343,1
OOBUS282,Vanderlin 282,"This stop is located on Vanderlin Drv, Adj to Stables",-12.42195,130.92344,1
OOBUS283,Vanderlin 283,This stop is located on Cnr Vanderlin Drv & Stuart Hwy,-12.43136,130.92355,1
OOBUS284,Ford Berrimah 284,"This stop is located on Stuart Highway, Adj to Hidden Valley Ford",-12.43289,130.92135,1
OOBUS285,Defence Establishment 285,"This stop is located on Stuart Highway, Adj to Harvey Norman",-12.43177,130.91851,1
OOBUS286,Stuart Highway 286,"This stop is located on Stuart Highway, Adj to Coonawarra Naval Base",-12.42929,130.91181,1
OOBUS287,Stuart Highway 287,"This stop is located on Stuart Highway, Adj to Shady Glen C/Park",-12.4265,130.9003,1
OOBUS288,Show Grounds 288,"This stop is located on Stuart Highway, Adj to Show Grounds",-12.42628,130.89751,1
OOBUS289,Winnellie 289,"This stop is located on Winnellie Rd, Opp BP Service Station",-12.42668,130.89334,1
OOBUS290,Albatross 290,This stop is located on the Cnr Albatross St & Mataram St,-12.42865,130.88988,1
OOBUS291,Albatross 291,"This stop is located on Albatross St, Adj to Kokoda Industries",-12.42865,130.88606,1
OOBUS292,Catterthun 292,"This stop is located on Catterthun St, Adj to ANZ Bank",-12.42972,130.8824,1
OOBUS293,Coonawarra 293,"This stop is located on Coonawarra Rd, Adj to Coonawarra Wreckers",-12.43036,130.88036,1
OOBUS294,Coonawarra 294,"This stop is located on Coonawarra Rd, Adj to Shell Service Station",-12.43037,130.87651,1
OOBUS295,Sweet 295,"This stop is located on Sweet St, Opp Geminex",-12.42927,130.87238,1
OOBUS296,Hickman 296,"This stop is located on Hickman St, Opp Carlton Brewery",-12.4277,130.87051,1
OOBUS297,Stuart Highway 297,"This stop is located on Stuart Highway, Adj to Shell Airport",-12.42541,130.86905,1
OOBUS298,Winnellie Post Office 298,"This stop is located on Stuart Highway, Adj to Winnellie Post Office",-12.42659,130.86449,1
OOBUS299,Stuart Highway 299,"This stop is located on Stuart Highway, Opp Shiers St",-12.42826,130.8596,1
OOBUS301,Phillip Street Shops 301,"This stop is located on Phillip St, Adj to Fanny Bay Shops",-12.42375,130.8375,1
OOBUS302,Phillip 302,This stop is located on the Cnr Phillip St & Hinkler Cres,-12.41976,130.83665,1
OOBUS303,George 303,"This stop is located on George Cres, Adj to Park",-12.41972,130.83384,1
OOBUS304,George 304,This stop is located at 6 George Cres,-12.42248,130.83526,1
OOBUS305,Ross Smith  305,"This stop is located on Ross Smith Ave, Adj to BP",-12.42545,130.83963,1
OOBUS306,Ross Smith 306,"This stop is located on Ross Smith Ave, Opp Parap Pool",-12.42722,130.84209,1
OOBUS307,Ross Smith 307,"This stop is located on Ross Smith Ave, Opp Parap School",-12.42966,130.84546,1
OOBUS308,Vickers 308,"This stop is located on Vickers St, Opp Parap Post Office",-12.43088,130.84479,1
OOBUS309,Parap shops 309,"This stop is located on Gregory St, Opp Parap Shops",-12.43218,130.84359,1
OOBUS310,Parap Road 310,"This stop is located on Parap Rd, Adj to Park",-12.43524,130.84339,1
OOBUS311,Westralia Street Shops 311,"This stop is located on Westralia St, Adj to Shops",-12.44504,130.84324,1
OOBUS312,Westralia 312,This stop is located at 39 Westralia St,-12.4449,130.84595,1
OOBUS313,Meigs 313,This stop is located on the Cnr Meigs St & Mary St,-12.44628,130.84473,1
OOBUS314,Guy 314,"This stop is located on Guy St, Adj to Dinah Oval",-12.44914,130.84675,1
OOBUS315,Gothenburg 315,"This stop is located at Gothenburg Cres, Adj to Park",-12.44898,130.8448,1
OOBUS316,Margaret 316,"This stop is located on Margaret St, Adj to Park",-12.44895,130.84302,1
OOBUS317,Duke 317,This stop is located on the Cnr Duke St & Dinah Beach Rd,-12.45099,130.84253,1
OOBUS318,Packard 318,"This stop is located on Packard St, Adj to Larrakeyah Primary School",-12.45854,130.8302,1
OOBUS319,Smith 319,"This stop is located on Smith St, Adj to St Mary's Church",-12.45943,130.83804,1
OOBUS320,Hudson Fysh 320,This stop is located on the Cnr Hudson Fysh Ave & Douglas St,-12.43017,130.85078,1
OOBUS321,Bremer 321,This stop is located on the Cnr Bremer & Hudson Fysh Ave,-12.42929,130.85145,1
OOBUS322,Nadpur 322,This stop is located at 3 Nadpur St,-12.4164,130.8522,1
OOBUS323,Harney 323,This stop is located at 30 Harney St,-12.41338,130.85252,1
OOBUS324,Harney 324,This stop is located at 12 Harney St,-12.41131,130.85197,1
OOBUS325,Amy Johnson 325,"This stop is located on Amy Johnson Blvd, Adj to Marrara School",-12.4072,130.91606,1
OOBUS326,Darwin Interchange 326,"This stop is located at Darwin Interchange, Harry Chan Ave (S&G)",-12.464987,130.844233,1
OOBUS327,Stuart Highway 327,"This stop is located on Stuart Highway, Opp Repco",-12.4251,130.87644,1
OOBUS328,Stuart Highway 328,"This stop is located on Stuart Highway, Adj to Water Tower",-12.42505,130.87921,1
OOBUS329,Stuart Highway 329,"This stop is located on Stuart Highway, Opp Lee St",-12.42513,130.8851,1
OOBUS330,Stuart Highway 330,"This stop is located on Stuart Highway, Opp Carla Furnishing",-12.42573,130.89294,1
OOBUS331,Stuart Highway 331,"This stop is located Stuart Highway, Adj to Caltex Service Station",-12.43397,130.92516,1
OOBUS332,Stuart Highway 332,"This stop is located on Stuart Highway, Adj to Knuckey Lagoon",-12.43791,130.93555,1
OOBUS333,Berrimah Prison 333,This stop is located on the Cnr Stuart Highway & Thorak Rd,-12.44187,130.94632,1
OOBUS334,Stuart Highway 334,"This stop is located on Stuart Highway, Adj to ADF",-12.44767,130.9569,1
OOBUS335,Stuart Highway 335 ,"This stop is located on Stuart Highway, Adj to TCs Fuel",-12.45184,130.9622,1
OOBUS336,BP Palms,"This stop is located on Stuart Highway, Adj to BP Palms",-12.45905,130.97098,1
OOBUS337,Roystonia 337,"This stop is located on Roystonia Ave, Adj to Shell Service Station",-12.47385,130.9838,1
OOBUS339,Cambridge 339,"This stop is located on Cambridge St, Opp McDonalds",-12.47826,130.98311,1
OOBUS340,Coles,"This stop is located on Chun Wah Tce, Adj to Coles Supermarket",-12.48154,130.98426,1
OOBUS341,Dwyer 341,"This stop is located on Dwyer Circuit, Opp 12 Dwyer Circuit",-12.48439,130.9792,1
OOBUS342,Dwyer 342,This stop is located at 45 Dwyer Circuit,-12.48126,130.98067,1
OOBUS343,Dwyer 343,This stop is located at 89 Dwyer Circuit,-12.4809,130.97799,1
OOBUS344,Woodlake 344,"This stop is located on Woodlake Blvd, Opp Vet Surgery",-12.4793,130.97575,1
OOBUS345,Woodlake School 345,"This stop is located on Woodlake Blvd, Opp Durack School",-12.47653,130.9735,1
OOBUS346,Woodlake Blvd School 346,This stop is located at 75 Woodlake Blvd,-12.47358,130.9731,1
OOBUS347,Woodlake Blvd 347,This stop is located at 127 Woodlake Blvd,-12.46982,130.97022,1
OOBUS348,Woodlake 348,"This stop is located on Woodlake Blvd, Opp 60 Woodlake Blvd",-12.47231,130.96607,1
OOBUS349,Woodlake Blvd West 349,"This stop is located on Woodlake Blvd, Opp 34 Woodlake Blvd",-12.4744,130.96575,1
OOBUS350,University 350,"This stop is located on University Ave, Adj to Shell Service Station",-12.4805,130.97317,1
OOBUS351,CDU Palmerston 351,"This stop is located at the Palmerston University, Campus Car Park",-12.47597,130.97945,1
OOBUS352,Maluka Street 352,"This stop is located on Maluka St, Adj to Overflow",-12.48125,130.98741,1
OOBUS353,Palmerston Interchange 353,"This stop is located at Palmerston Interchange, Roystonia Ave (Dep)",-12.47919,130.98735,1
